,symbol,price
591,TOMOUSDT,0.56600000
592,TOMOUSDC,0.36700000
593,PERLBNB,0.00005950
594,PERLBTC,0.00000061
595,PERLUSDC,0.02447000
596,PERLUSDT,0.01847000
597,DENTUSDT,0.00105000
598,MFTUSDT,0.00475100
599,KEYUSDT,0.00364900
600,STORMUSDT,0.00339700
601,DOCKUSDT,0.02158000
602,WANUSDT,0.23060000
603,FUNUSDT,0.00901000
604,CVCUSDT,0.18280000
605,BTTTRX,0.03945000
606,WINTRX,0.00192800
607,CHZBNB,0.00039970
608,CHZBTC,0.00000412
609,CHZUSDT,0.12480000
610,BANDBNB,0.02248000
611,BANDBTC,0.00005800
612,BANDUSDT,1.75100000
613,BNBBUSD,311.70000000
614,BTCBUSD,30221.01000000
615,BUSDUSDT,1.00080000
616,BEAMBNB,0.02177000
617,BEAMBTC,0.00000477
618,BEAMUSDT,0.14400000
619,XTZBNB,0.00567800
620,XTZBTC,0.00005838
621,XTZUSDT,1.76500000
622,RENUSDT,0.14970000
623,RVNUSDT,0.03018000
624,HCUSDT,0.84230000
625,HBARBNB,0.00032940
626,HBARBTC,0.00000341
627,HBARUSDT,0.10310000
628,NKNBNB,0.00074700
629,NKNBTC,0.00000327
630,NKNUSDT,0.09840000
631,XRPBUSD,0.42230000
632,ETHBUSD,2035.11000000
633,BCHABCBUSD,220.16000000
634,LTCBUSD,69.90000000
635,LINKBUSD,7.18000000
636,ETCBUSD,20.83000000
637,STXBNB,0.00169300
638,STXBTC,0.00001739
639,STXUSDT,0.52800000
640,KAVABNB,0.00815000
641,KAVABTC,0.00008400
642,KAVAUSDT,2.54500000
643,BUSDNGN,462.64000000
644,BNBNGN,43608.00000000
645,BTCNGN,25941597.00000000
646,ARPABNB,0.00010880
647,ARPABTC,0.00000112
648,ARPAUSDT,0.03395000
649,TRXBUSD,0.07366000
650,EOSBUSD,1.31400000
651,IOTXUSDT,0.03325000
652,RLCUSDT,0.91800000
653,MCOUSDT,2.74400000
654,XLMBUSD,0.13130000
655,ADABUSD,0.53090000
656,CTXCBNB,0.00412200
657,CTXCBTC,0.00000444
658,CTXCUSDT,0.13440000
659,BCHBNB,0.62800000
660,BCHBTC,0.00648000
661,BCHUSDT,195.90000000
662,BCHUSDC,196.10000000
663,BCHTUSD,630.00000000
664,BCHPAX,617.72000000
665,BCHBUSD,195.80000000
666,BTCRUB,1838251.00000000
667,ETHRUB,123321.60000000
668,XRPRUB,25.79000000
669,BNBRUB,18930.70000000
670,TROYBNB,0.00001800
671,TROYBTC,0.00000018
672,TROYUSDT,0.00562300
673,BUSDRUB,60.75000000
674,QTUMBUSD,3.93000000
675,VETBUSD,0.03125000
676,VITEBNB,0.00070700
677,VITEBTC,0.00000078
678,VITEUSDT,0.02359000
679,FTTBNB,0.09840000
680,FTTBTC,0.00101480
681,FTTUSDT,30.68000000
682,BTCTRY,485223.00000000
683,BNBTRY,5003.00000000
684,BUSDTRY,16.05700000
685,ETHTRY,32650.00000000
